"Station_ID","Longitude","Latitude",
"CRMS0616-H01","-92.26124","29.73086",
"CRMS0618-H01","-92.25827","29.73562",
"CRMS0624-H01","-92.88635","29.85991",
"CRMS0630-H01","-92.79417","29.78277",
"CRMS0638-W01","-93.51052","29.86799",
"CRMS0641-H01","-93.5106","29.89631",
"CRMS0660-H01","-93.66663","29.91863",
"CRMS0669-H01","-93.7273","29.88119",
"CRMS0672-W01","-93.41673","29.83174",
"CRMS0685-H01","-93.3868","29.88902",
"CRMS0694-H01","-93.54318","29.88276",
"CRMS0978-H01","-90.29288","29.32319",
"CRMS1446-H01","-92.82877","29.92687",
"CRMS2156-H01","-93.69844","29.87536",
"CRMS2334-H01","-93.51093","29.8822",
"CRMS2785-H01","-91.03991","29.50334",
"CRMS2785-M01","-91.04073","29.50412",
"CRMS3565-W01","-90.10221","29.49881",
"CRMS4455-H01","-90.94726","29.2589",
"CRMS4690-H01","-90.03955","29.49855",
"CRMS4900-H01","-91.25919","29.63488",
"CS02-05","-93.46627","29.96439",
"CS20-03","-93.39931","29.8087",
"CS20-07","-93.44806","29.8301",
"CS20-09","-93.42811","29.82998",
"CS20-106","-93.45321","29.783",
"CS20-14R","-93.39655","29.80692",
"CS20-15R","-93.45145","29.86404",
"CS20-17","-93.43195","29.80466",
"CS23-01R","-93.38154","29.90893",
"CS23-03","-93.53101","29.87988",
"CS23-05","-93.52888","29.96249",
"CS27-25","-93.60722","30.03417",
"CS31-01","-93.52981","29.77083",
"CS31-02","-93.57066","29.77831",
"CS31-03","-93.51328","29.771",
"DCPTE03","-90.72945","29.38444",
"ME04-06","-92.26035","29.74917",
"ME04-143R","-92.3675","29.71948",
"ME04-26R","-92.26744","29.67059",
"ME04-29","-92.28668","29.65279",
"ME04-43R","-92.25127","29.66412",
"ME11-01R","-92.8754","29.83873",
"ME16-06","-92.56803","29.61739",
"PO24-01","-89.61484","29.81976",
"PO24-02","-89.6113","29.81799",
"PO24-03","-89.65575","29.82175",
"PO24-04","-89.65723","29.82002",
"PO24-05","-89.64576","29.83411",
"TE26-01R","-91.24825","29.35376",
