"Station_ID","Longitude","Latitude",
"CRMS0061-H01","-90.63932","30.22038",
"CRMS0178-H01","-90.04584","29.28779",
"CRMS0206-H01","-90.66666","29.85058",
"CRMS0217-H01","-90.87728","29.9166",
"CRMS0268-H01","-90.60291","29.79737",
"CRMS0282-H01","-89.76033","29.49882",
"CRMS0290-H01","-91.04327","29.47974",
"CRMS0293-H01","-91.20128","29.23994",
"CRMS0294-H01","-90.94941","29.41944",
"CRMS0296-H01","-90.90215","29.42233",
"CRMS0302-H01","-90.91296","29.1472",
"CRMS0303-H01","-91.06897","29.24119",
"CRMS0305-H01","-91.19807","29.38954",
"CRMS0307-H01","-90.82704","29.25337",
"CRMS0309-H01","-91.19612","29.25339",
"CRMS0311-H01","-90.79226","29.21429",
"CRMS0315-H01","-90.5718","29.40179",
"CRMS0322-H01","-91.10725","29.24471",
"CRMS0324-H01","-91.23307","29.99059",
"CRMS0326-H01","-91.07448","29.27427",
"CRMS0327-H01","-91.06824","29.44512",
"CRMS0331-H01","-90.54395","29.58265",
"CRMS0332-H01","-91.0392","29.29825",
"CRMS0335-H01","-90.38727","29.26374",
"CRMS0336-H01","-90.38318","29.32019",
"CRMS0337-H01","-90.35585","29.31138",
"CRMS0338-H01","-90.41479","29.33445",
"CRMS0341-H01","-90.51272","29.30937",
"CRMS0345-H01","-90.76242","29.17053",
"CRMS0347-H01","-90.70071","29.16139",
"CRMS0354-H01","-91.00865","29.33187",
"CRMS0355-H01","-90.54054","29.2983",
"CRMS0367-H01","-90.57236","29.63078",
"CRMS0367-M02","-90.57295","29.6302",
"CRMS0369-H01","-90.69504","29.29458",
"CRMS0371-H01","-91.07056","29.42734",
"CRMS0374-H01","-90.79344","29.15655",
"CRMS0376-H01","-90.85722","29.12359",
"CRMS0377-H01","-91.00664","29.23246",
"CRMS0381-H01","-90.85474","29.44738",
"CRMS0382-H01","-90.85419","29.4341",
"CRMS0385-H01","-90.60324","29.40903",
"CRMS0394-H01","-90.85509","29.35926",
"CRMS0395-H01","-90.88645","29.36058",
"CRMS0396-H01","-90.88578","29.34274",
"CRMS0398-H01","-90.91854","29.38948",
"CRMS0399-H01","-91.10548","29.30009",
"CRMS0400-H01","-90.50845","29.48979",
"CRMS0403-H01","-91.14245","29.75715",
"CRMS0409-H01","-90.92003","29.47889",
"CRMS0411-H01","-90.95129","29.49794",
"CRMS0414-H01","-90.94341","29.69904",
"CRMS0416-H01","-90.48113","29.47583",
"CRMS0421-H01","-90.82433","29.17188",
"CRMS0434-H01","-90.73313","29.32039",
"CRMS0461-H01","-91.32607","29.5847",
"CRMS0465-H01","-91.38445","29.53705",
"CRMS0479-H01","-91.44918","29.52354",
"CRMS0482-H01","-91.35408","29.58587",
"CRMS0490-H01","-91.51785","29.69005",
"CRMS0493-H02","-91.76115","29.75524",
"CRMS0494-H02","-91.78883","29.74074",
"CRMS0496-H02","-91.55026","29.6297",
"CRMS0501-H01","-92.25677","29.63938",
"CRMS0508-H01","-92.22653","29.63999",
"CRMS0511-H01","-91.97964","29.88658",
"CRMS0513-H01","-91.60424","29.79267",
"CRMS0514-H02","-91.82963","29.85245",
"CRMS0517-H01","-91.57243","29.64272",
"CRMS0531-H01","-91.951","29.85606",
"CRMS0536-H01","-92.25981","29.5821",
"CRMS0542-H01","-91.63342","29.80488",
"CRMS0547-H01","-91.70217","29.83859",
"CRMS0549-H03","-91.84953","29.83381",
"CRMS0552-H02","-92.13616","29.79716",
"CRMS0553-H02","-93.00561","29.84962",
"CRMS0554-H01","-92.66482","29.82979",
"CRMS0562-H01","-92.76157","29.76587",
"CRMS0565-H01","-92.4508","29.79888",
"CRMS0568-H01","-92.41631","29.78446",
"CRMS0570-H01","-92.38919","29.80061",
"CRMS0571-H01","-92.29267","29.70956",
"CRMS0572-H01","-92.28911","29.78897",
"CRMS0574-H01","-92.63487","29.79597",
"CRMS0575-H01","-92.94957","29.93195",
"CRMS0576-H01","-92.48057","29.59138",
"CRMS0580-H01","-92.3231","29.60658",
"CRMS0583-H01","-92.91694","29.83976",
"CRMS0584-H02","-92.85805","29.79694",
"CRMS0588-H01","-92.82292","29.77327",
"CRMS0595-H01","-92.63743","29.85371",
"CRMS0600-H01","-92.53484","29.57684",
"CRMS0603-H01","-92.76011","29.80182",
"CRMS0604-H02","-92.75362","29.75833",
"CRMS0605-H02","29.86042","-92.9151",
"CRMS0609-H01","-92.60404","29.6398",
"CRMS0614-H01","-92.88541","29.73706",
"CRMS0615-H01","-92.82157","29.67977",
"CRMS0616-H01","-92.26124","29.73086",
"CRMS0618-H01","-92.25827","29.73562",
"CRMS0619-H01","-92.26169","29.68675",
"CRMS0623-H01","-92.50847","29.63578",
"CRMS0624-H01","-92.88635","29.85991",
"CRMS0626-H01","-92.60364","29.69359",
"CRMS0630-H02","-92.79422","29.78279",
"CRMS0632-H01","-92.38577","29.56841",
"CRMS0633-H01","-92.32312","29.5639",
"CRMS0638-H01","-93.51177","29.86904",
"CRMS0639-H01","-93.471","29.87866",
"CRMS0641-H01","-93.5106","29.89631",
"CRMS0642-H01","-93.46431","29.87284",
"CRMS0644-H01","-93.2921","29.83217",
"CRMS0645-H01","-93.19913","29.84669",
"CRMS0648-H01","-93.17011","29.83976",
"CRMS0650-H01","-93.13306","29.92118",
"CRMS0651-H01","-93.51425","29.96428",
"CRMS0655-H01","-93.41589","29.7992",
"CRMS0656-H01","-93.2692","30.01949",
"CRMS0658-H01","-93.60464","30.05506",
"CRMS0660-H01","-93.66663","29.91863",
"CRMS0661-H01","-93.63228","29.84622",
"CRMS0662-H01","-93.69382","30.035",
"CRMS0663-H01","-93.6972","30.01171",
"CRMS0669-H01","-93.7273","29.88119",
"CRMS0672-H01","-93.41563","29.83338",
"CRMS0677-H01","-93.53532","29.85749",
"CRMS0680-H01","-93.51328","29.77361",
"CRMS0682-H01","-93.5752","29.82361",
"CRMS0683-H01","-93.6661","29.89055",
"CRMS0684-H01","-93.82502","29.81867",
"CRMS0685-H01","-93.3868","29.88902",
"CRMS0687-H01","-93.35792","29.93918",
"CRMS0691-H01","-93.1052","29.96266",
"CRMS1100-H01","-92.44916","29.65839",
"CRMS1130-H01","-92.38554","29.70097",
"CRMS1205-H01","-93.57543","29.87499",
"CRMS1277-H01","-92.47781","29.82397",
"CRMS1413-H01","-93.01054","29.89647",
"CRMS1738-H01","-93.22935","29.8539",
"CRMS1743-H01","-93.23099","29.89053",
"CRMS1838-H01","-93.69474","29.78621",
"CRMS1858-H01","-93.51217","29.8361",
"CRMS1965-H02","-92.48389","29.63402",
"CRMS2041-H01","-92.16341","29.77055",
"CRMS2166-H01","-93.70175","29.98003",
"CRMS2189-H02","-93.75782","29.93006",
"CRMS2219-H01","-93.60114","29.76756",
"CRMS2334-H01","-93.51093","29.8822",
"CRMS2418-H01","-93.16801","29.87258",
"CRMS2493-H01","-92.88753","29.82584",
"CRMS2568-H01","-91.35429","29.56387",
"CRMS2785-H01","-91.03991","29.50334",
"CRMS2825-H01","-90.444","29.49781",
"CRMS2862-H01","-91.07733","29.5497",
"CRMS2881-H01","-91.01202","29.47247",
"CRMS2881-M01","-91.01252","29.4725",
"CRMS2887-H01","-90.91537","29.52121",
"CRMS2887-M01","-90.91507","29.52089",
"CRMS2939-H01","-90.57242","29.59459",
"CRMS3296-H01","-90.47901","29.38404",
"CRMS4014-H01","-91.32302","29.54857",
"CRMS4016-H01","-91.3857","29.56284",
"CRMS4045-H01","-91.0103","29.38002",
"CRMS4455-H01","-90.94726","29.2589",
"CRMS4779-H01","-91.4476","29.64139",
"CRMS4782-H01","-91.44238","29.6648",
"CRMS4808-H01","-91.41545","29.63541",
"CRMS4809-H01","-91.42101","29.64497",
"CRMS4900-H01","-91.25919","29.63488",
"CRMS4938-H01","-91.32386","29.61581",
"CRMS5003-H01","-91.2892","29.62409",
"CRMS5035-H01","-91.03683","29.62449",
"CRMS5373-H01","-90.63174","30.10149",
"CRMS5536-H01","-91.12984","29.97045",
"CRMS5672-W01","-90.84644","29.8687",
"CRMS5770-W01","-90.90502","29.75824",
"CRMS5992-H01","-91.54103","29.77586",
"CRMS6008-H01","-91.4805","29.63064",
"CRMS6038-H01","-91.35257","29.60478",
"CRMS6042-H01","-91.35449","29.6369",
"CRMS6301-H01","-93.41097","29.9639",
"CRMS6302-H01","-93.42911","30.04169",
"DCPTE09","-91.21584","29.90911",
"ME11-01R","-92.8754","29.83873",
"ME16-06","-92.56803","29.61739",
