"Site_ID","Longitude","Latitude",
"CRMS0639","-93.47932","29.88977",
"CRMS0641","-93.51057","29.89703",
"CRMS0642","-93.47932","29.868",
"CRMS0647","-93.47932","29.84623",
"CRMS0650","-93.13557","29.91881",
"CRMS0651","-93.51057","29.96236",
"CRMS0655","-93.41682","29.79542",
"CRMS0656","-93.26057","30.02042",
"CRMS0660","-93.66682","29.91881",
"CRMS0665","-93.69807","29.96236",
"CRMS0669","-93.72932","29.88251",
"CRMS0672","-93.41682","29.83171",
"CRMS0677","-93.54182","29.85349",
"CRMS0680","-93.51057","29.77365",
"CRMS0682","-93.57307","29.82445",
"CRMS0683","-93.66682","29.88977",
"CRMS0685","-93.38557","29.88977",
"CRMS0691","-93.10432","29.96235",
"CRMS0693","-93.63557","29.89703",
"CRMS0978","-90.29251","29.32365",
"CRMS1130","-92.38555","29.70106",
"CRMS1277","-92.4793","29.82445",
"CRMS1413","-93.01057","29.89703",
"CRMS1446","-92.82306","29.92606",
"CRMS1858","-93.51057","29.83897",
"CRMS2154","-93.69807","29.84623",
"CRMS2156","-93.69807","29.87526",
"CRMS2189","-93.76058","29.92606",
"CRMS2219","-93.60432","29.76639",
"CRMS2334","-93.51057","29.88252",
"CRMS2568","-91.35427","29.56315",
"CRMS2785","-91.04176","29.50508",
"CRMS3565","-90.10424","29.49783",
"CRMS3590","-89.94798","29.48331",
"CRMS4455","-90.94801","29.2583",
"CRMS4529","-89.82298","29.46879",
"CRMS4690","-90.04174","29.49783",
