"SiteId","veg_year","Marsh_Class","Basin",
"CRMS0002","2017","Brackish","Pontchartrain",
"CRMS0003","2017","Saline","Pontchartrain",
"CRMS0006","2017","Brackish","Pontchartrain",
"CRMS0008","2017","Swamp","Pontchartrain",
"CRMS0030","2017","Fresh","Pontchartrain",
"CRMS0033","2017","Intermediate","Pontchartrain",
"CRMS0034","2017","Intermediate","Pontchartrain",
"CRMS0035","2017","Swamp","Pontchartrain",
"CRMS0038","2017","Swamp","Pontchartrain",
"CRMS0039","2017","Swamp","Pontchartrain",
"CRMS0046","2017","Swamp","Pontchartrain",
"CRMS0047","2017","Swamp","Pontchartrain",
"CRMS0056","2017","Swamp","Pontchartrain",
"CRMS0058","2017","Swamp","Pontchartrain",
"CRMS0059","2017","Swamp","Pontchartrain",
"CRMS0061","2017","Swamp","Pontchartrain",
"CRMS0063","2017","Swamp","Pontchartrain",
"CRMS0065","2017","Swamp","Pontchartrain",
"CRMS0086","2017","Swamp","Pontchartrain",
"CRMS0089","2017","Swamp","Pontchartrain",
"CRMS0090","2017","Swamp","Pontchartrain",
"CRMS0097","2017","Swamp","Pontchartrain",
"CRMS0103","2017","Swamp","Pontchartrain",
"CRMS0108","2017","Saline","Pontchartrain",
"CRMS0114","2017","Intermediate","Breton Sound",
"CRMS0115","2017","Intermediate","Breton Sound",
"CRMS0117","2017","Fresh","Breton Sound",
"CRMS0118","2017","Fresh","Breton Sound",
"CRMS0119","2017","Brackish","Breton Sound",
"CRMS0120","2017","Fresh","Breton Sound",
"CRMS0121","2017","Brackish","Breton Sound",
"CRMS0125","2017","Intermediate","Breton Sound",
"CRMS0128","2017","Fresh","Breton Sound",
"CRMS0129","2017","Saline","Breton Sound",
"CRMS0131","2017","Intermediate","Breton Sound",
"CRMS0132","2017","Intermediate","Breton Sound",
"CRMS0135","2017","Brackish","Breton Sound",
"CRMS0136","2017","Intermediate","Breton Sound",
"CRMS0139","2017","Fresh","Breton Sound",
"CRMS0146","2017","Brackish","Breton Sound",
"CRMS0147","2017","Saline","Breton Sound",
"CRMS0148","2017","Intermediate","Breton Sound",
"CRMS0153","2017","Intermediate","Mississippi River Delta",
"CRMS0154","2017","Fresh","Mississippi River Delta",
"CRMS0156","2017","Fresh","Mississippi River Delta",
"CRMS0157","2017","Fresh","Mississippi River Delta",
"CRMS0159","2017","Intermediate","Mississippi River Delta",
"CRMS0161","2017","Intermediate","Mississippi River Delta",
"CRMS0162","2017","Fresh","Mississippi River Delta",
"CRMS0163","2017","Fresh","Mississippi River Delta",
"CRMS0164","2017","Saline","Barataria",
"CRMS0171","2017","Saline","Barataria",
"CRMS0172","2017","Saline","Barataria",
"CRMS0173","2017","Saline","Barataria",
"CRMS0174","2017","Saline","Barataria",
"CRMS0175","2017","Saline","Barataria",
"CRMS0176","2017","Saline","Barataria",
"CRMS0178","2017","Saline","Barataria",
"CRMS0179","2017","Saline","Barataria",
"CRMS0181","2017","Saline","Barataria",
"CRMS0185","2017","Swamp","Barataria",
"CRMS0188","2017","Intermediate","Barataria",
"CRMS0189","2017","Fresh","Barataria",
"CRMS0190","2017","Intermediate","Barataria",
"CRMS0192","2017","Fresh","Barataria",
"CRMS0194","2017","Swamp","Barataria",
"CRMS0197","2017","Swamp","Barataria",
"CRMS0200","2017","Swamp","Barataria",
"CRMS0206","2017","Swamp","Barataria",
"CRMS0209","2017","Saline","Barataria",
"CRMS0211","2017","Fresh","Barataria",
"CRMS0217","2017","Swamp","Barataria",
"CRMS0218","2017","Swamp","Barataria",
"CRMS0219","2017","Fresh","Barataria",
"CRMS0220","2017","Brackish","Barataria",
"CRMS0224","2017","Saline","Barataria",
"CRMS0225","2017","Brackish","Barataria",
"CRMS0226","2017","Saline","Barataria",
"CRMS0232","2017","Saline","Barataria",
"CRMS0234","2017","Swamp","Barataria",
"CRMS0237","2017","Saline","Barataria",
"CRMS0248","2017","Brackish","Barataria",
"CRMS0251","2017","Saline","Barataria",
"CRMS0253","2017","Brackish","Barataria",
"CRMS0258","2017","Saline","Barataria",
"CRMS0260","2017","Saline","Barataria",
"CRMS0261","2017","Intermediate","Barataria",
"CRMS0263","2017","Brackish","Barataria",
"CRMS0268","2017","Fresh","Barataria",
"CRMS0272","2017","Saline","Barataria",
"CRMS0273","2017","Fresh","Barataria",
"CRMS0276","2017","Brackish","Barataria",
"CRMS0278","2017","Intermediate","Barataria",
"CRMS0282","2017","Saline","Barataria",
"CRMS0287","2017","Intermediate","Barataria",
"CRMS0290","2017","Fresh","Terrebonne",
"CRMS0292","2017","Saline","Terrebonne",
"CRMS0293","2017","Brackish","Terrebonne",
"CRMS0294","2017","Fresh","Terrebonne",
"CRMS0296","2017","Fresh","Terrebonne",
"CRMS0301","2017","Fresh","Terrebonne",
"CRMS0302","2017","Saline","Terrebonne",
"CRMS0303","2017","Saline","Terrebonne",
"CRMS0305","2017","Intermediate","Terrebonne",
"CRMS0307","2017","Saline","Terrebonne",
"CRMS0309","2017","Brackish","Terrebonne",
"CRMS0310","2017","Saline","Terrebonne",
"CRMS0311","2017","Saline","Terrebonne",
"CRMS0312","2017","Intermediate","Terrebonne",
"CRMS0315","2017","Saline","Terrebonne",
"CRMS0318","2017","Saline","Terrebonne",
"CRMS0319","2017","Saline","Terrebonne",
"CRMS0322","2017","Saline","Terrebonne",
"CRMS0324","2017","Swamp","Terrebonne",
"CRMS0326","2017","Brackish","Terrebonne",
"CRMS0327","2017","Fresh","Terrebonne",
"CRMS0329","2017","Fresh","Terrebonne",
"CRMS0331","2017","Fresh","Terrebonne",
"CRMS0332","2017","Saline","Terrebonne",
"CRMS0335","2017","Saline","Terrebonne",
"CRMS0336","2017","Saline","Terrebonne",
"CRMS0337","2017","Saline","Terrebonne",
"CRMS0338","2017","Saline","Terrebonne",
"CRMS0341","2017","Saline","Terrebonne",
"CRMS0345","2017","Saline","Terrebonne",
"CRMS0347","2017","Saline","Terrebonne",
"CRMS0354","2017","Intermediate","Terrebonne",
