"SiteId","veg_year","Marsh_Class","Basin",
"CRMS0002","2018","Brackish","Pontchartrain",
"CRMS0003","2018","Saline","Pontchartrain",
"CRMS0006","2018","Brackish","Pontchartrain",
"CRMS0008","2018","Swamp","Pontchartrain",
"CRMS0030","2018","Fresh","Pontchartrain",
"CRMS0033","2018","Intermediate","Pontchartrain",
"CRMS0034","2018","Intermediate","Pontchartrain",
"CRMS0035","2018","Swamp","Pontchartrain",
"CRMS0038","2018","Swamp","Pontchartrain",
"CRMS0039","2018","Swamp","Pontchartrain",
"CRMS0046","2018","Swamp","Pontchartrain",
"CRMS0047","2018","Swamp","Pontchartrain",
"CRMS0056","2018","Swamp","Pontchartrain",
"CRMS0058","2018","Swamp","Pontchartrain",
"CRMS0059","2018","Swamp","Pontchartrain",
"CRMS0061","2018","Swamp","Pontchartrain",
"CRMS0063","2018","Swamp","Pontchartrain",
"CRMS0065","2018","Swamp","Pontchartrain",
"CRMS0086","2018","Swamp","Pontchartrain",
"CRMS0089","2018","Swamp","Pontchartrain",
"CRMS0090","2018","Swamp","Pontchartrain",
"CRMS0097","2018","Swamp","Pontchartrain",
"CRMS0103","2018","Swamp","Pontchartrain",
"CRMS0108","2018","Saline","Pontchartrain",
"CRMS0114","2018","Intermediate","Breton Sound",
"CRMS0115","2018","Intermediate","Breton Sound",
"CRMS0117","2018","Fresh","Breton Sound",
"CRMS0118","2018","Fresh","Breton Sound",
"CRMS0119","2018","Brackish","Breton Sound",
"CRMS0120","2018","Fresh","Breton Sound",
"CRMS0121","2018","Brackish","Breton Sound",
"CRMS0125","2018","Intermediate","Breton Sound",
"CRMS0128","2018","Fresh","Breton Sound",
"CRMS0129","2018","Brackish","Breton Sound",
"CRMS0131","2018","Brackish","Breton Sound",
"CRMS0132","2018","Intermediate","Breton Sound",
"CRMS0135","2018","Brackish","Breton Sound",
"CRMS0136","2018","Intermediate","Breton Sound",
"CRMS0139","2018","Fresh","Breton Sound",
"CRMS0146","2018","Intermediate","Breton Sound",
"CRMS0147","2018","Saline","Breton Sound",
"CRMS0148","2018","Intermediate","Breton Sound",
"CRMS0154","2018","Fresh","Mississippi River Delta",
"CRMS0156","2018","Fresh","Mississippi River Delta",
"CRMS0157","2018","Intermediate","Mississippi River Delta",
"CRMS0159","2018","Intermediate","Mississippi River Delta",
"CRMS0161","2018","Intermediate","Mississippi River Delta",
"CRMS0162","2018","Intermediate","Mississippi River Delta",
"CRMS0163","2018","Fresh","Mississippi River Delta",
"CRMS0164","2018","Saline","Barataria",
"CRMS0171","2018","Saline","Barataria",
"CRMS0172","2018","Saline","Barataria",
"CRMS0173","2018","Saline","Barataria",
"CRMS0174","2018","Saline","Barataria",
"CRMS0175","2018","Saline","Barataria",
"CRMS0178","2018","Saline","Barataria",
"CRMS0179","2018","Saline","Barataria",
"CRMS0181","2018","Saline","Barataria",
"CRMS0185","2018","Swamp","Barataria",
"CRMS0188","2018","Intermediate","Barataria",
"CRMS0189","2018","Fresh","Barataria",
"CRMS0190","2018","Intermediate","Barataria",
"CRMS0192","2018","Fresh","Barataria",
"CRMS0194","2018","Swamp","Barataria",
"CRMS0197","2018","Swamp","Barataria",
"CRMS0200","2018","Swamp","Barataria",
"CRMS0206","2018","Swamp","Barataria",
"CRMS0209","2018","Brackish","Barataria",
"CRMS0211","2018","Fresh","Barataria",
"CRMS0217","2018","Swamp","Barataria",
"CRMS0218","2018","Swamp","Barataria",
"CRMS0219","2018","Fresh","Barataria",
"CRMS0220","2018","Brackish","Barataria",
"CRMS0224","2018","Saline","Barataria",
"CRMS0225","2018","Intermediate","Barataria",
"CRMS0226","2018","Brackish","Barataria",
"CRMS0232","2018","Brackish","Barataria",
"CRMS0234","2018","Swamp","Barataria",
"CRMS0237","2018","Saline","Barataria",
"CRMS0248","2018","Brackish","Barataria",
"CRMS0251","2018","Brackish","Barataria",
"CRMS0253","2018","Brackish","Barataria",
"CRMS0258","2018","Saline","Barataria",
"CRMS0260","2018","Brackish","Barataria",
"CRMS0261","2018","Intermediate","Barataria",
"CRMS0263","2018","Brackish","Barataria",
"CRMS0268","2018","Fresh","Barataria",
"CRMS0272","2018","Saline","Barataria",
"CRMS0273","2018","Fresh","Barataria",
"CRMS0276","2018","Brackish","Barataria",
"CRMS0278","2018","Intermediate","Barataria",
"CRMS0282","2018","Saline","Barataria",
"CRMS0287","2018","Intermediate","Barataria",
"CRMS0290","2018","Fresh","Terrebonne",
"CRMS0292","2018","Saline","Terrebonne",
"CRMS0293","2018","Brackish","Terrebonne",
"CRMS0294","2018","Fresh","Terrebonne",
"CRMS0296","2018","Fresh","Terrebonne",
"CRMS0301","2018","Fresh","Terrebonne",
"CRMS0302","2018","Saline","Terrebonne",
"CRMS0303","2018","Saline","Terrebonne",
"CRMS0305","2018","Intermediate","Terrebonne",
"CRMS0307","2018","Brackish","Terrebonne",
"CRMS0309","2018","Brackish","Terrebonne",
"CRMS0310","2018","Saline","Terrebonne",
"CRMS0311","2018","Saline","Terrebonne",
