"SiteId","veg_year","Marsh_Class","Basin",
"CRMS0002","2016","Brackish","Pontchartrain",
"CRMS0003","2016","Saline","Pontchartrain",
"CRMS0006","2016","Brackish","Pontchartrain",
"CRMS0008","2016","Swamp","Pontchartrain",
"CRMS0030","2016","Fresh","Pontchartrain",
"CRMS0033","2016","Fresh","Pontchartrain",
"CRMS0034","2016","Intermediate","Pontchartrain",
"CRMS0035","2016","Swamp","Pontchartrain",
"CRMS0038","2016","Swamp","Pontchartrain",
"CRMS0039","2016","Swamp","Pontchartrain",
"CRMS0046","2016","Swamp","Pontchartrain",
"CRMS0047","2016","Swamp","Pontchartrain",
"CRMS0056","2016","Swamp","Pontchartrain",
"CRMS0058","2016","Swamp","Pontchartrain",
"CRMS0059","2016","Swamp","Pontchartrain",
"CRMS0061","2016","Swamp","Pontchartrain",
"CRMS0063","2016","Swamp","Pontchartrain",
"CRMS0065","2016","Swamp","Pontchartrain",
"CRMS0086","2016","Swamp","Pontchartrain",
"CRMS0089","2016","Swamp","Pontchartrain",
"CRMS0090","2016","Swamp","Pontchartrain",
"CRMS0097","2016","Swamp","Pontchartrain",
"CRMS0103","2016","Swamp","Pontchartrain",
"CRMS0108","2016","Saline","Pontchartrain",
"CRMS0114","2016","Intermediate","Breton Sound",
"CRMS0115","2016","Intermediate","Breton Sound",
"CRMS0117","2016","Intermediate","Breton Sound",
"CRMS0118","2016","Intermediate","Breton Sound",
"CRMS0119","2016","Brackish","Breton Sound",
"CRMS0120","2016","Fresh","Breton Sound",
"CRMS0121","2016","Brackish","Breton Sound",
"CRMS0125","2016","Intermediate","Breton Sound",
"CRMS0128","2016","Fresh","Breton Sound",
"CRMS0129","2016","Brackish","Breton Sound",
"CRMS0131","2016","Intermediate","Breton Sound",
"CRMS0132","2016","Intermediate","Breton Sound",
"CRMS0135","2016","Brackish","Breton Sound",
"CRMS0136","2016","Intermediate","Breton Sound",
"CRMS0139","2016","Fresh","Breton Sound",
"CRMS0146","2016","Brackish","Breton Sound",
"CRMS0147","2016","Saline","Breton Sound",
"CRMS0148","2016","Brackish","Breton Sound",
"CRMS0153","2016","Intermediate","Mississippi River Delta",
"CRMS0154","2016","Intermediate","Mississippi River Delta",
"CRMS0156","2016","Intermediate","Mississippi River Delta",
"CRMS0157","2016","Intermediate","Mississippi River Delta",
"CRMS0159","2016","Intermediate","Mississippi River Delta",
"CRMS0161","2016","Intermediate","Mississippi River Delta",
"CRMS0162","2016","Intermediate","Mississippi River Delta",
"CRMS0163","2016","Intermediate","Mississippi River Delta",
"CRMS0164","2016","Saline","Barataria",
"CRMS0171","2016","Saline","Barataria",
"CRMS0172","2016","Saline","Barataria",
"CRMS0173","2016","Saline","Barataria",
"CRMS0174","2016","Saline","Barataria",
"CRMS0175","2016","Saline","Barataria",
"CRMS0176","2016","Saline","Barataria",
"CRMS0178","2016","Saline","Barataria",
"CRMS0179","2016","Saline","Barataria",
"CRMS0181","2016","Saline","Barataria",
"CRMS0185","2016","Swamp","Barataria",
"CRMS0188","2016","Intermediate","Barataria",
"CRMS0189","2016","Fresh","Barataria",
"CRMS0190","2016","Intermediate","Barataria",
"CRMS0192","2016","Fresh","Barataria",
"CRMS0194","2016","Swamp","Barataria",
"CRMS0197","2016","Swamp","Barataria",
"CRMS0200","2016","Swamp","Barataria",
"CRMS0206","2016","Swamp","Barataria",
"CRMS0209","2016","Saline","Barataria",
"CRMS0211","2016","Fresh","Barataria",
"CRMS0217","2016","Swamp","Barataria",
"CRMS0218","2016","Swamp","Barataria",
"CRMS0219","2016","Fresh","Barataria",
"CRMS0220","2016","Brackish","Barataria",
"CRMS0224","2016","Saline","Barataria",
"CRMS0225","2016","Brackish","Barataria",
"CRMS0226","2016","Saline","Barataria",
"CRMS0232","2016","Saline","Barataria",
"CRMS0234","2016","Swamp","Barataria",
"CRMS0237","2016","Saline","Barataria",
"CRMS0248","2016","Brackish","Barataria",
